"version","title","beginnerNotes","normalNotes","hyperNotes","anotherNotes","leggendariaNotes","normalNotesDP","hyperNotesDP","anotherNotesDP","leggendariaNotesDP","beginnerLevel","normalLevel","hyperLevel","anotherLevel","leggendariaLevel","normalLevelDP","hyperLevelDP","anotherLevelDP","leggendariaLevelDP"
"32","オッド♡ラヴィ","198","534","900","1274","-","533","929","1258","-","2","5","8","10","-","5","8","10","-"
"32","最強頂戴girl♡","-","433","746","1106","-","452","725","1070","-","-","4","8","10","-","4","8","10","-"
"32","灼熱 Lost Summer Dayz","-","528","979","1453","-","529","995","1481","-","-","6","10","12","-","6","10","12","-"
"32","スパークリング☆彡ハイパーチューン！！","-","743","1105","1843","-","747","1114","1913","-","-","7","10","12","-","7","10","12","-"
"32","ゲシュタルト","201","480","796","1239","-","475","783","1268","-","2","5","7","10","-","5","7","10","-"
"32","断罪の一花","-","448","785","1296","-","446","753","1254","-","-","4","8","11","-","4","8","11","-"
"32","ビビデバ","134","396","672","1036","-","426","665","1173","-","1","4","7","10","-","4","7","10","-"
"32","メズマライザー","291","588","929","1375","-","493","916","1486","-","3","6","9","11","-","5","9","11","-"
"32","我ら完全無敵のアイドル!!","123","525","830","1283","-","528","825","1302","-","1","5","8","10","-","5","8","10","-"
"32","ドーナツホール 2024","175","499","822","1191","-","506","886","1265","-","2","5","8","10","-","5","8","10","-"
"32","オブソミート","120","438","756","1204","-","449","746","1229","-","1","4","7","10","-","4","7","10","-"
"32","ハオ","153","440","883","1459","-","440","865","1425","-","1","4","8","11","-","4","8","11","-"
"32","ロマンシングエスケープ","-","221","572","925","-","226","591","932","-","-","3","7","9","-","3","7","9","-"
"32","きゅうくらりん","229","446","866","1203","-","444","803","1217","-","2","5","8","10","-","5","8","10","-"
"32","進捗ダメダメです","145","404","811","1124","-","399","820","1131","-","1","4","8","10","-","4","8","10","-"
"32","エクスプロウル","-","478","818","1211","-","485","824","1243","-","-","5","8","10","-","5","8","10","-"
"32","覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～","-","539","978","1468","-","547","978","1567","-","-","5","9","11","-","5","9","11","-"
"32","ギャ・ギャ・ギャ・ギャラクシー！","-","459","830","1201","-","465","802","1215","-","-","4","8","10","-","4","8","10","-"
"32","Plazma","133","348","637","1020","-","346","637","1000","-","2","5","8","10","-","5","8","10","-"
"32","キスキツネ","99","446","747","1192","-","455","798","1350","-","1","4","7","10","-","4","7","10","-"
"32","無双","-","594","993","1677","-","589","991","1644","-","-","5","8","11","-","5","8","11","-"
"32","EX-MASSIVE FIGHTER","-","619","1091","1725","-","614","1099","1703","-","-","6","10","12","-","6","10","12","-"
"32","Lycoris","-","392","698","1026","-","433","738","1058","-","-","4","7","10","-","4","7","10","-"
"32","弾幕信仰","-","541","842","1266","-","596","836","1274","-","-","5","8","10","-","5","8","10","-"
"32","SUPER HEROINE!!","-","472","829","1187","-","475","844","1199","-","-","5","9","11","-","5","9","11","-"
"32","朱と碧のランページ","-","518","862","1266","-","512","850","1314","-","-","5","8","10","-","5","8","10","-"
"32","Plea Per Phase","-","520","892","1395","-","519","939","1379","-","-","5","9","11","-","5","9","11","-"
"32","Cross Fire","-","551","1134","1746","-","582","1149","1731","-","-","6","10","12","-","6","10","12","-"
"32","消極的セツナイズム","-","490","807","1152","-","559","869","1213","-","-","5","8","10","-","5","8","10","-"
"32","Arcanos","-","335","602","1003","-","360","619","1064","-","-","4","7","10","-","4","7","10","-"
"32","爆ぜりゃんせ","-","568","977","1521","-","593","1003","1593","-","-","5","9","11","-","5","9","11","-"
"32","Bang-Boo Bumble","-","573","993","1479","-","573","989","1476","-","-","5","9","11","-","5","9","11","-"
"32","DIVINE JUDGEMENT","-","520","1025","1416","-","537","1065","1455","-","-","6","10","12","-","6","10","12","-"
"32","Roar of Chronos","-","626","1120","1991","-","628","1115","1974","-","-","6","10","12","-","6","10","12","-"
"32","ドリムチウ","-","436","799","1312","-","442","796","1326","-","-","4","7","10","-","4","7","10","-"
"32","Slumber☆Party","-","422","904","1166","-","500","778","1218","-","-","5","8","10","-","5","8","11","-"
"32","Show Me All Your Love","-","568","1018","1482","-","581","1032","1426","-","-","5","9","11","-","5","9","11","-"
"32","Mid-Corner (Magic Maker)","-","619","1055","1611","-","606","1065","1540","-","-","6","10","12","-","6","10","12","-"
"32","天使のカンタータ -Cantata of Angels-","-","637","1142","2205","-","626","1143","2222","-","-","6","10","12","-","6","10","12","-"
"32","ハルイロメロディー","-","442","706","1110","-","447","731","1069","-","-","4","7","10","-","4","7","10","-"
"32","Constellation","-","487","928","1435","-","527","888","1310","-","-","5","9","11","-","5","9","11","-"
"32","きみのせかい","-","518","845","1446","-","533","800","1600","-","-","5","8","11","-","5","8","11","-"
"32","FlyAway","-","633","1050","1648","-","635","1019","1683","-","-","6","10","12","-","6","10","12","-"
"32","hora de verdad","-","574","1055","1564","-","555","1019","1574","-","-","6","10","12","-","6","10","12","-"
"32","Without Heaven","-","672","1127","1912","-","645","1011","1794","-","-","7","10","12","-","7","10","12","-"
"32","God Mind","-","780","1349","2155","-","803","1220","2157","-","-","7","10","12","-","7","10","12","-"
"32","SμG@R RU$#","-","728","1275","2037","-","732","1291","2139","-","-","7","10","12","-","7","10","12","-"
"32","Aqvion","-","598","998","1773","-","600","1046","1774","-","-","6","9","12","-","6","9","12","-"
"32","Skratch Education Lv-1","-","558","952","1572","-","630","962","1566","-","-","7","10","12","-","7","10","12","-"
"32","Mighty Cutie","-","579","1013","1394","-","570","1017","1401","-","-","5","8","10","-","5","8","10","-"
"32","ＰＡＳＴＥＬＩＳＭ","-","526","781","1070","-","535","799","1095","-","-","5","8","10","-","5","8","10","-"
"32","Stargazing Trip ～星 探す旅～ ft. 小林マナ","-","545","903","1344","-","545","900","1281","-","-","5","9","11","-","5","9","11","-"
"32","MARLIN","-","609","1170","1798","-","629","1166","1795","-","-","6","10","12","-","6","10","12","-"
"32","スキッテイエェエエェ!!!!","-","798","1328","2193","-","787","1284","2136","-","-","8","10","12","-","7","10","12","-"
"32","Galaxy Collapse","-","419","642","962","-","425","665","985","-","-","5","7","10","-","5","7","10","-"
"32","Good Looking","-","375","660","1046","-","375","634","1025","-","-","4","8","10","-","4","8","10","-"
"32","everlastingeuphoria:","-","562","855","1243","-","516","852","1220","-","-","5","9","11","-","5","9","11","-"
"32","アラビアン ハイパー ナイト","-","607","967","1690","-","553","1211","1690","-","-","6","10","12","-","6","10","12","-"
"32","Uaigh Gealaí","-","668","1157","1972","-","695","1141","1994","-","-","6","10","12","-","6","10","12","-"
"32","Shirdal","-","441","780","1269","-","477","799","1136","-","-","5","8","10","-","5","8","10","-"
"32","TECHNO RUMBLE","-","593","937","1481","-","568","913","1553","-","-","6","9","11","-","6","9","11","-"
"32","uən","-","735","1105","1547","-","752","1088","1550","-","-","7","10","12","-","7","10","12","-"
"32","Flämingo","-","545","1208","1800","-","544","1200","1810","-","-","5","10","12","-","5","10","12","-"
"32","Pinky Happy Crazy","-","674","1287","1833","-","696","1294","1909","-","-","6","10","12","-","6","10","12","-"
"32","Butterfly Twist","-","524","801","1373","-","528","830","1308","-","-","5","8","11","-","5","8","11","-"
"32","XHRONOXAPSULΞ","-","600","1231","2077","-","724","1263","1807","-","-","7","10","12","-","7","10","12","-"
"32","IN BETWEEN","-","461","765","1201","-","462","767","1163","-","-","5","9","11","-","5","9","11","-"
"32","SISYPHUS","-","525","915","1399","-","520","914","1409","-","-","6","10","12","-","6","10","12","-"
"32","EYE OF THE HEAVEN","-","512","1216","1824","-","529","1228","1804","-","-","6","10","12","-","6","10","12","-"
"19","A MINSTREL ～ ver. short-scape ～","-","341","732","1187","1954","346","771","1231","1965","-","3","6","9","12","3","8","9","12","-","3","6","9","12","3","8","9","12"
"9","ADVANCE","-","240","429","818","-","240","453","800","-","-","4","6","10","-","4","6","10","-","-","4","6","10","-","4","6","10","-"
"32","ファイナルレター","-","500","967","1371","-","509","956","1351","-","-","5","9","11","-","5","9","11","-"
"32","Lightspeed","-","648","1073","1606","-","636","1034","1618","-","-","6","10","12","-","6","10","12","-"
"32","COSMIC V3LOCITY","-","637","1188","1716","-","623","1174","1730","-","-","6","10","12","-","6","10","12","-"
"1","Dr.LOVE","-","204","261","290","-","259","321","-","-","-","2","3","4","-","3","4","-","-"
"1","GAMBOL","-","137","137","-","-","137","137","-","-","-","2","2","-","-","2","2","-","-"
"1","GRADIUSIC CYBER","-","442","508","609","-","409","556","631","-","-","5","6","7","-","4","9","9","-"
"1","R3","-","330","368","454","-","384","392","475","-","-","4","5","6","-","4","6","8","-"
"1","22DUNK","-","265","323","329","-","333","334","329","-","-","3","4","5","-","5","5","5","-"
"1","5.1.1.","-","99","511","786","-","99","511","796","-","-","2","6","10","-","1","7","10","-"
"1","deep in you","-","250","255","333","-","283","293","364","-","-","4","4","5","-","3","4","7","-"
"1","GENOM SCREAMS","-","211","417","536","-","211","417","538","-","-","3","6","9","-","3","6","9","-"
"1","gentle stress","-","172","342","728","-","199","327","772","-","-","2","4","9","-","3","5","9","-"
"1","KEEP ON MOVIN'","-","98","122","-","-","119","122","-","-","-","2","3","-","-","2","3","-","-"
"1","Macho Gang","-","191","548","837","-","262","836","846","-","-","2","7","10","-","3","11","11","-"
"1","PARANOIA MAX～DIRTY MIX～","-","280","376","562","-","280","406","581","-","-","5","6","8","-","3","6","9","-"
"1","RUGGED ASH","-","185","201","556","1058","186","201","624","1203","-","3","3","9","11","3","4","9","12"
"1","THE EARTH LIGHT","-","398","530","581","-","456","718","581","-","-","4","7","8","-","5","10","7","-"
"2","Digital MinD(A/T Libra mix)","-","374","542","573","-","374","597","-","-","-","4","5","6","-","4","8","-","-"
"2","Electro Tuned(the SubS mix)","-","390","483","537","-","469","569","-","-","-","4","5","6","-","6","9","-","-"
"2","I Was The One","-","272","326","348","-","205","270","-","-","-","3","3","4","-","2","2","-","-"
"2","Indigo Vision(full flavour hide around mix)","-","442","569","617","-","455","617","-","-","-","3","5","8","-","5","8","-","-"
"2","PUT YOUR FAITH IN ME(for beatmania II)","-","291","434","-","-","288","434","-","-","-","3","6","-","-","4","7","-","-"
"2","SP-TRIP MACHINE(for beatmania II)","-","254","313","324","-","254","311","-","-","-","3","4","4","-","3","5","-","-"
"2",".59","-","360","514","584","-","444","514","585","-","-","4","6","7","-","4","6","7","-"
"3","CAN'T STOP FALLIN'IN LOVE","-","310","632","-","-","313","620","-","-","-","4","8","-","-","4","7","-","-"
"3","Don't Stop!","-","389","428","453","-","391","450","-","-","-","4","4","4","-","4","4","-","-"
"3","era (nostalmix)","-","437","555","786","-","437","952","1226","-","-","5","8","9","-","5","12","12","-"
"3","Holic","-","395","624","880","-","680","875","1136","-","-","5","7","11","-","7","10","12","-"
"3","LEADING CYBER","-","434","611","645","-","478","611","645","-","-","4","6","7","-","4","6","6","-"
"3","Presto","-","273","498","508","-","274","508","-","-","-","3","8","8","-","3","8","-","-"
"3","R5","-","387","588","889","-","430","599","870","-","-","5","8","11","-","5","8","11","-"
"3","REINCARNATION","-","424","525","643","-","398","525","643","-","-","4","5","7","-","4","5","7","-"
"3","Schlagwerk","-","414","663","848","-","412","1043","1090","-","-","4","6","8","-","4","11","11","-"
"3","Skyscraper","-","372","610","629","-","413","628","-","-","-","4","6","7","-","4","7","-","-"
"3","Tangerine Stream","-","141","198","-","-","151","199","-","-","-","2","3","-","-","2","3","-","-"
"3","THE SAFARI","183","618","900","-","-","624","900","-","-","2","7","10","-","-","8","10","-","-"
"4","ABSOLUTE","-","682","935","1218","1412","728","934","1338","1488","-","6","8","10","11","6","8","11","11"
"4","B4U","-","538","801","1014","-","629","815","-","-","-","5","9","10","-","6","8","-","-"
"4","Broken My Heart","-","474","751","914","-","405","742","914","-","-","5","7","9","-","4","7","10","-"
"4","Burnin' The Floor","-","293","478","721","-","460","482","724","-","-","4","4","7","-","4","4","8","-"
"4","CHECKING YOU OUT","-","339","481","700","-","339","482","703","-","-","7","9","11","-","7","11","11","-"
"4","Clione","-","264","479","811","1102","264","477","1010","1203","-","4","5","9","11","3","4","9","11"
"4","DXY!","-","651","968","1158","-","781","1332","1529","-","-","6","9","10","-","6","12","12","-"
"4","empathy","-","416","703","743","-","411","961","-","-","-","5","7","8","-","4","11","-","-"
"4","era (step mix)","-","565","733","875","-","503","728","1226","-","-","5","8","9","-","4","8","12","-"
"4","FLOWERS for ALBION","-","122","222","-","-","190","222","-","-","-","2","5","-","-","5","7","-","-"
"4","HIGHER","-","270","468","641","-","362","578","611","-","-","3","4","6","-","4","6","7","-"
"4","Hitch Hiker2","-","420","609","665","976","518","880","864","975","-","4","6","7","9","5","9","9","10"
"4","Jam&Marmalade","-","388","456","512","-","327","451","-","-","-","6","7","8","-","4","6","-","-"
"4","KAMIKAZE","-","515","745","1157","-","512","745","1156","-","-","5","6","10","-","5","7","10","-"
"4","LOVE WILL・・・","-","279","379","732","-","330","529","726","-","-","4","4","7","-","4","6","8","-"
"4","minimalian","-","271","555","706","-","263","626","1015","-","-","3","8","9","-","3","9","12","-"
"4","Mr.T.(take me higher)","-","428","510","889","-","428","510","885","-","-","4","5","10","-","4","5","10","-"
"4","starmine","224","456","719","800","-","566","796","1098","-","2","5","8","9","-","5","8","12","-"
"4","SWEET LAB","-","280","496","692","-","445","674","719","-","-","3","6","10","-","6","10","12","-"
"4","Voltage (feat. Hidemaru)","-","480","630","670","-","480","964","-","-","-","5","7","8","-","5","11","-","-"
"4","250bpm","-","353","528","726","-","351","523","672","-","-","5","8","10","-","4","7","9","-"
"5","Abyss","-","639","817","945","-","771","889","964","-","-","5","7","8","-","7","8","9","-"
"5","in my eyes","-","484","739","798","-","484","842","1051","-","-","5","6","7","-","5","8","10","-"
"5","LOVE AGAIN TONIGHT～for Mellisa mix～","-","385","501","561","-","466","555","-","-","-","4","5","6","-","4","5","-","-"
"5","outer wall","-","474","687","892","-","474","736","902","-","-","5","6","8","-","5","7","10","-"
"5","QQQ","-","621","961","1091","-","1016","1346","-","-","-","5","8","10","-","10","12","-","-"
"5","Radical Faith","-","602","768","660","-","749","1255","1101","-","-","5","6","7","-","6","11","10","-"
"5","Real","-","580","866","920","-","796","949","1139","-","-","5","8","9","-","7","9","11","-"
"5","Regulus","-","551","788","881","-","545","805","1065","-","-","6","9","10","-","6","10","11","-"
"5","RIDE ON THE LIGHT (HI GREAT MIX)","-","452","548","862","931","469","616","904","1010","-","4","5","8","10","5","8","9","10"
"5","RISLIM","-","463","625","-","-","463","625","-","-","-","4","7","-","-","4","6","-","-"
"5","sometime","-","393","539","672","-","393","676","693","-","-","4","6","8","-","5","8","8","-"
"5","Spin the disc","-","409","659","674","-","618","900","-","-","-","5","7","8","-","7","10","-","-"
"5","STILL IN MY HEART","-","517","705","971","-","516","705","1286","-","-","5","7","9","-","4","6","11","-"
"5","still my words","-","464","619","-","-","437","726","-","-","-","4","6","-","-","5","7","-","-"
"5","sync","-","549","982","1204","-","796","1030","1208","-","-","6","8","10","-","7","9","11","-"
"5","THE CUBE","-","374","644","682","-","374","645","1113","-","-","4","6","7","-","4","6","11","-"
"5","THE SHINING POLARIS","-","485","667","799","-","485","665","-","-","-","5","7","8","-","6","8","-","-"
"5","V","173","646","1272","1519","-","757","1385","1504","-","2","5","10","12","-","6","10","11","-"
"6","BALLAD FOR YOU～想いの雨～","-","297","387","537","-","375","546","-","-","-","4","5","7","-","5","8","-","-"
"6","Blueberry Stream","-","429","770","846","-","598","817","868","-","-","5","7","8","-","7","9","10","-"
"6","Buffalo","-","511","744","932","1287","479","744","932","1260","-","5","7","10","11","4","8","10","11"
"6","Colors (radio edit)","-","751","1011","1258","-","714","1099","1255","-","-","6","9","12","-","6","10","12","-"
"6","DIVE ～INTO YOUR HEART～","-","656","945","1066","-","623","998","1083","-","-","5","8","10","-","5","8","10","-"
"6","fly through the night","-","452","688","863","-","452","688","981","-","-","4","7","8","-","4","8","10","-"
"6","Free Style","-","473","571","664","-","473","579","-","-","-","5","6","7","-","6","6","-","-"
"6","Frozen Ray (original mix)","-","669","897","909","-","428","839","937","-","-","6","9","9","-","5","9","9","-"
"6","G2","-","752","942","1188","-","665","830","1377","-","-","8","9","11","-","6","7","12","-"
"6","Linus","-","489","789","1105","-","585","1007","1210","-","-","5","9","11","-","5","9","11","-"
"6","L'amour et la liberté","-","501","811","1025","-","501","784","1113","-","-","5","8","10","-","5","8","10","-"
"6","NEMESIS","-","524","839","973","-","667","977","1367","-","-","5","9","11","-","7","10","12","-"
"6","rottel-da-sun","-","417","692","936","-","418","693","-","-","-","5","8","10","-","5","8","-","-"
"6","route 80s","-","457","614","766","-","562","765","900","-","-","6","8","9","-","7","11","12","-"
"6","SOMETHING WONDERFUL","-","471","688","1003","-","458","690","1003","-","-","6","8","10","-","4","8","11","-"
"6","Summer Vacation(CU mix)","-","667","949","-","-","984","1328","-","-","-","6","9","-","-","9","12","-","-"
"6","Take It Easy","-","760","1229","1282","-","745","1356","-","-","-","7","10","11","-","6","11","-","-"
"6","VJ ARMY","-","660","904","1149","-","654","872","1182","-","-","6","9","10","-","6","8","10","-"
"6","19,November","-","560","733","910","-","589","733","1045","-","-","5","6","8","-","5","7","10","-"
"6","こっちを向いてよ","-","438","667","703","-","625","767","1127","-","-","5","6","7","-","6","9","11","-"
"7","A","-","666","1111","1260","-","613","1119","1343","-","-","6","10","12","-","8","11","12","-"
"7","AVE DE RAPINA","-","713","882","934","-","948","1113","-","-","-","6","8","9","-","8","10","-","-"
"7","Bad Routine","-","522","716","964","-","566","716","1042","-","-","5","7","9","-","6","7","9","-"
"7","Burning Heat! (Full Option Mix)","-","361","494","755","-","359","496","789","-","-","4","5","7","-","4","5","9","-"
"7","Cheer Train","-","470","623","880","-","468","623","1307","-","-","5","6","9","-","4","6","12","-"
"7","D2R","-","494","671","823","-","525","665","-","-","-","5","6","8","-","5","6","-","-"
"7","DESTINY","-","546","700","925","-","575","700","-","-","-","5","6","8","-","4","6","-","-"
"7","foreplay","-","357","631","684","-","361","630","979","-","-","4","8","8","-","5","9","11","-"
"7","Glorious Days","-","262","411","463","-","395","461","-","-","-","3","5","6","-","6","7","-","-"
"7","Happy Wedding","-","620","872","940","-","610","899","1061","-","-","6","7","8","-","6","8","10","-"
"7","Last Message","-","513","682","819","-","675","748","1111","-","-","5","8","9","-","6","10","11","-"
"7","Let the Snow Paint Me","-","431","537","624","-","485","559","-","-","-","4","6","7","-","6","7","-","-"
"7","Love Me Do","-","571","857","1058","-","577","899","-","-","-","5","7","9","-","5","7","-","-"
"7","MAX 300","-","570","982","1429","-","566","982","1496","-","-","7","10","12","-","7","10","12","-"
"7","Somebody Like You","-","376","606","933","-","375","603","937","-","-","4","7","9","-","4","7","9","-"
"7","Spica","-","328","772","1167","-","327","782","1203","-","-","4","9","11","-","3","9","12","-"
"7","stoic","-","874","1250","1302","-","874","1126","1497","-","-","8","10","11","-","8","10","12","-"
"7","Tomorrow Perfume","-","685","1000","1085","-","729","1212","1311","-","-","6","9","9","-","6","10","11","-"
"7","traces","-","778","982","1083","-","762","901","1071","-","-","6","9","10","-","7","9","10","-"
"7","ZERO-ONE","-","556","874","1132","1448","556","874","1169","1458","-","5","9","10","11","5","8","10","11"
"7","革命","-","392","1004","1183","-","702","1209","1401","-","-","6","10","10","-","7","12","12","-"
"8","abstract","-","659","831","960","-","662","950","-","-","-","6","9","9","-","7","9","-","-"
"8","airflow","-","295","402","721","-","293","402","721","-","-","3","5","7","-","3","6","7","-"
"8","ALL RIGHT","-","446","658","815","-","501","720","860","-","-","4","8","9","-","7","8","10","-"
"8","Attitude","-","527","721","881","-","578","707","881","-","-","5","8","9","-","5","7","9","-"
"8","bit mania","-","458","643","934","-","536","643","-","-","-","4","5","8","-","5","6","-","-"
"8","Blame","-","611","796","980","-","614","745","1105","-","-","6","7","11","-","6","7","10","-"
"8","CELEBRATE NITE","-","471","591","714","-","471","632","731","-","-","5","6","8","-","5","7","8","-"
"8","Colors -Y&Co. Eurobeat Remix-","-","585","1029","1100","-","663","1068","1100","-","-","5","9","10","-","6","10","10","-"
"8","dual control","-","403","763","961","-","403","756","854","-","-","5","7","9","-","4","8","9","-"
"8","Giudecca","-","470","1016","1381","-","600","1129","1392","-","-","4","9","11","-","5","10","11","-"
"8","Halfway of promise","-","481","781","940","-","638","779","1157","-","-","4","8","11","-","5","8","10","-"
"8","HYPER BOUNDARY GATE","-","646","976","1115","-","636","955","1115","-","-","6","8","9","-","6","8","10","-"
"8","LAB","-","534","1029","1075","-","547","1014","1255","-","-","5","9","10","-","5","10","11","-"
"8","LOVE IS ORANGE","-","399","519","903","1059","456","570","1034","1243","-","4","6","8","10","4","5","9","11"
"8","Luv 2 Feel Your Body","-","437","542","839","-","552","703","945","-","-","4","6","9","-","6","9","10","-"
"8","memories","-","578","1056","1157","-","578","1122","1274","-","-","5","9","9","-","5","10","11","-"
"8","Monkey Dance","-","413","690","997","-","554","689","955","-","-","4","7","9","-","5","6","9","-"
"8","murmur twins","-","567","854","1207","-","589","924","1188","-","-","5","9","11","-","5","10","12","-"
"8","MUSIC TO YOUR HEAD","-","415","743","849","-","628","769","849","-","-","4","7","9","-","8","8","9","-"
"8","PLEASE DON'T GO","-","505","715","1251","-","527","798","1188","-","-","5","7","12","-","4","9","10","-"
"8","rainbow flyer","-","422","859","1081","-","424","931","1167","-","-","5","9","11","-","4","10","11","-"
"8","symbolic","-","734","952","1138","-","936","1152","-","-","-","6","9","10","-","8","10","-","-"
"8","thunder","-","609","817","959","-","608","944","1126","-","-","6","8","9","-","5","9","11","-"
"8","WAR GAME","-","488","789","1077","-","496","820","1044","-","-","4","8","10","-","4","7","10","-"
"8","World Wide Love","-","353","526","559","-","454","560","-","-","-","3","5","5","-","4","5","-","-"
"8","xenon","-","570","867","1379","-","563","865","1379","-","-","5","9","11","-","5","8","11","-"
"8","蒼い衝動","-","468","694","803","-","524","685","795","-","-","5","7","8","-","5","6","9","-"
"8","桜","-","541","819","1123","-","605","819","1047","-","-","7","10","12","-","8","10","12","-"
"9","Abyss -The Heavens Remix-","288","766","938","1188","-","803","1036","1102","-","3","7","10","10","-","6","9","10","-"
"9","ACT","-","532","864","935","-","637","890","1005","-","-","6","9","9","-","6","9","10","-"
"9","ATOMIC AGE","-","184","341","679","-","184","346","681","-","-","2","5","9","-","2","6","9","-"
"9","BAD BOY BASS!! (dj Remo-con MIX)","-","468","714","908","-","468","708","-","-","-","5","7","8","-","4","7","-","-"
"9","bag","-","468","621","963","-","636","912","1023","-","-","5","6","10","-","6","9","10","-"
"9","BRIGHTNESS DARKNESS","-","363","750","889","-","381","825","984","-","-","4","8","9","-","3","8","10","-"
"9","Cradle","-","466","751","803","-","617","784","-","-","-","5","8","10","-","6","10","-","-"
"9","Distress","-","691","937","-","-","993","1254","-","-","-","7","10","-","-","9","11","-","-"
"9","e-motion 2003 -romantic extra-","-","671","824","1001","-","715","978","-","-","-","6","8","10","-","8","10","-","-"
"9","fun","-","311","586","950","-","295","574","950","-","-","4","7","10","-","4","7","10","-"
"9","Golden Horn","-","359","646","763","-","359","646","853","-","-","4","8","9","-","3","8","11","-"
"9","HYPER EUROBEAT (2DX style)","-","557","843","990","-","604","832","-","-","-","5","8","10","-","6","8","-","-"
"9","I Was The One (80's EUROBEAT STYLE)","-","397","685","727","-","439","518","725","-","-","4","6","7","-","4","6","8","-"
"9","Karma","-","668","839","925","-","797","1085","1267","-","-","6","9","10","-","8","11","12","-"
"9","lights","-","357","753","910","-","635","927","995","-","-","3","6","8","-","7","9","10","-"
"9","Logic Board","-","529","907","1173","-","529","906","1697","-","-","5","8","11","-","6","8","12","-"
"9","LOVE♡SHINE","270","433","921","1046","-","427","673","960","-","3","5","9","10","-","4","7","9","-"
"9","lower world","-","706","979","1144","-","705","981","1254","-","-","6","9","10","-","7","10","12","-"
"9","Make A Difference","-","445","846","1155","-","441","866","1202","-","-","5","9","10","-","5","9","10","-"
